University,City,State,Denomination,Rank,Market,Academic,aCFI,CSI_Score,CSI_Quantile,Endowment,Latitude,Longitude
Evangel University,Springfield,MO,Pentecostal,406,0.3383783653998408,0.6621119033832634,0.4721458887223171,0.4566264624763819,5,32784245.697,37.22175245,-93.26497163536374
Muskingum University,New Concord,OH,Presbyterian,407,0.3892050065659937,0.5334605597936892,0.4852360733935259,0.4564733246005884,5,101320627.34,39.9995479,-81.73888231752169
Bethune-Cookman University,Daytona Beach,FL,Methodist,408,0.5328908356887161,0.296980928524153,0.4596398750956546,0.4564174108171767,5,32659573.668,29.21185355,-81.03198250103571
Viterbo University,La Crosse,WI,Roman Catholic,410,0.3570106190035247,0.5950229314786148,0.4860865909327083,0.4562454842333545,5,77125998.673,43.80321085,-91.24456329560022
Felician University,Lodi,NJ,Roman Catholic,411,0.4208900684956036,0.5469778990815366,0.4455590280436175,0.4559675434408468,5,19148849.378,40.8664885,-74.0926419
St Catherine University,Saint Paul,MN,Roman Catholic,413,0.4433245133355306,0.4678038707641567,0.4615088748512136,0.4554953183640892,5,146812062.078,44.924437,-93.18228844466312
Caldwell University,Caldwell,NJ,Roman Catholic,414,0.4227285257929,0.5528312819335511,0.4376208863984974,0.4546959894597763,5,17557007.698,40.83390785,-74.27132972676327
Regis University,Denver,CO,Roman Catholic,415,0.5066088460026034,0.3533688804575843,0.4528120750874634,0.454446709169915,5,113013625.596,39.78971110000001,-105.0313694671746
Saint Martin's University,Lacey,WA,Roman Catholic,416,0.4437678779027858,0.4655637105941262,0.459060811490645,0.454245096879646,5,61193415.875,47.04343285,-122.8134395796864
Maryville College,Maryville,TN,Presbyterian,417,0.4408449486521007,0.421516345669576,0.4835892448902416,0.454087428270398,5,90465298.668,35.751472,-83.9642249
University of Northwestern-St Paul,Saint Paul,MN,Protestant,418,0.4456311431212066,0.4790746286833194,0.449075037543566,0.4536947424329012,5,26846265.413,44.943719,-93.094281
Thomas More University,Crestview Hills,KY,Roman Catholic,419,0.4167987145731348,0.5171596325187497,0.4582727313384018,0.453458763579923,5,41056232.368,39.02091849999999,-84.56769555987898
Central College,Pella,IA,Protestant,420,0.3702327097222183,0.5297222041591005,0.4980117281246143,0.4532518228247899,5,111624359.416,41.4036435,-92.93159877729258
Lebanon Valley College,Annville,PA,Methodist,422,0.4034438258790346,0.5054803954395592,0.4754619910690366,0.4526626058432223,4,96791159.236,40.3345578,-76.51374559549934
Andrews University,Berrien Springs,MI,Seventh Day Adventist,423,0.353677015131625,0.5807198843992851,0.4844707338934379,0.4514065309467078,4,69533154.021,41.96966265,-86.36331553855976
Hendrix College,Conway,AR,Methodist,424,0.3533161845881201,0.5400323987542097,0.5045971713295101,0.4511834066938256,4,179109947.452,35.1008234,-92.4420508402078
Piedmont University,Demorest,GA,United Church of Christ,425,0.4785535852634022,0.394977307255898,0.4501054346995437,0.4504617374340459,4,32599771.372,34.57027745,-83.54171067915166
Friends University,Wichita,KS,Friends,426,0.3553649626270447,0.5314338881865119,0.5031701585754722,0.4497127802649429,4,72196492.467,37.6784007,-97.36542141621248
Florida College,Temple Terrace,FL,Churches of Christ,427,0.3513940308234589,0.5444302315669208,0.5004167246182949,0.4496208494087703,4,35415358.077,28.03446495,-82.38338213326841
Northwestern College,Orange City,IA,Protestant,428,0.3521734817405856,0.5431795736034993,0.4990792142257461,0.4491472736445433,4,87674349.471,42.9994485,-96.0543218266804
Dominican University New York,Orangeburg,NY,Roman Catholic,429,0.4450662932375273,0.4691337015999286,0.4409743324027668,0.4482397654431001,4,13325991.022,41.046393,-73.949816
Missouri Baptist University,Saint Louis,MO,Baptist,430,0.3381843705040148,0.6413835788235626,0.4615428082356451,0.4481619390272908,4,14680189.629,38.6419861,-90.46229806385276
