University,City,State,Denomination,Rank,Market,Academic,aCFI,CSI_Score,CSI_Quantile,Endowment,Latitude,Longitude
Georgetown College,Georgetown,KY,Baptist,560,0.3818545033051757,0.4653094474433428,0.438032412598037,0.4210195459373984,3,25877895.685,38.20692074999999,-84.55403434882237
Point University,West Point,GA,Protestant,561,0.4385034441938113,0.3565512122167837,0.4352625444027172,0.4208241849252076,3,6448927.365,32.876125,-85.184282
Brewton-Parker College,Mount Vernon,GA,Baptist,562,0.4170933392528106,0.3579996706696785,0.4547221445514242,0.4203395627835477,3,9007040.303,32.18538895796868,-82.58347271164341
Dakota Wesleyan University,Mitchell,SD,Methodist,563,0.2970194732124238,0.5407044790218773,0.4828256995674762,0.4200917576610255,3,47619462.996,43.69723515,-98.03046792635384
Mount Mary University,Milwaukee,WI,Roman Catholic,564,0.3540397742489321,0.4475639251210758,0.4720388585368279,0.4199584855402895,3,32214601.169,43.07252155,-88.03145157759188
Columbia College,Columbia,SC,Methodist,566,0.3543182743700816,0.459792376028723,0.4648213819736269,0.4196258909545829,3,17525924.536,34.04613184999999,-81.03038940347594
Lees-McRae College,Banner Elk,NC,Presbyterian,567,0.3688516256919732,0.4178158359656527,0.468722245155175,0.4186077932348551,3,43502234.738,36.15271495,-81.88158941244929
Brevard College,Brevard,NC,Methodist,568,0.351367509217335,0.4212484037227274,0.4836425414955399,0.4182731679467004,3,38729258.914,35.237431,-82.72641122025428
Hilbert College,Hamburg,NY,Roman Catholic,570,0.3491200221280641,0.5189127124717334,0.4369629050615282,0.418216302677736,3,2773292.925,42.7567258,-78.8225324
Albertus Magnus College,New Haven,CT,Roman Catholic,571,0.3552843679160375,0.482271395068418,0.4490324377260889,0.4181870521817809,3,30314928.582,41.332772,-72.92254564135219
North Central University,Minneapolis,MN,Pentecostal,572,0.3571834192448489,0.4621376117721613,0.4565472056289089,0.4179291496419594,3,4944882.549,44.9688959,-93.2618548027095
The Christ College of Nursing and Health Sciences,Cincinnati,OH,Interdenominational,573,0.2639932716208327,0.4794236951371303,0.5395514245937569,0.4173361861015049,3,14514141.557,39.103699,-84.513611
Simpson College,Indianola,IA,Methodist,574,0.3637520432779925,0.4435334166576592,0.4577784814138404,0.4173297203585541,3,103971248.982,41.3662127,-93.5660540991244
College of Our Lady of the Elms,Chicopee,MA,Roman Catholic,575,0.3086212405761024,0.5391059747092726,0.4648313616576929,0.4172104293861756,3,33614349.402,42.14190105,-72.60042300750956
Bethel University,McKenzie,TN,Presbyterian,576,0.3749938889676102,0.4206383590704743,0.4575565343332975,0.4171597892165208,3,12855674.236,36.14145385,-88.51552576233773
Bryan College-Dayton,Dayton,TN,Interdenominational,578,0.2904753081952988,0.5673275702561504,0.4678302121129418,0.4167955079291037,3,11031494.867,35.49789125,-84.99855097356965
University of Dubuque,Dubuque,IA,Presbyterian,579,0.3326882582496367,0.2980735489754778,0.5586798875655954,0.4162106279179789,3,289899271.935,42.49510235,-90.69655385158194
Howard Payne University,Brownwood,TX,Baptist,580,0.3656986474630271,0.2661287149035846,0.5416464028782457,0.416208909661565,3,51052205.371,31.71642025,-98.98631404578038
Heidelberg University,Tiffin,OH,United Church of Christ,581,0.3315635322675367,0.4704899614980687,0.4736098839777376,0.4161818754251424,3,77413859.109,41.11442525,-83.16686666639325
Averett University,Danville,VA,Baptist,583,0.3712608454107489,0.4723556252369191,0.4322407565662815,0.4158738523424444,3,22791309.261,36.5789301,-79.41452051628477
Holy Cross College,Notre Dame,IN,Roman Catholic,584,0.3879929117406655,0.370251639139897,0.4660603114119126,0.415689004696205,3,19549956.952,41.6980783,-86.25322329862374
Coe College,Cedar Rapids,IA,Presbyterian,585,0.3769623175883709,0.3968350908609181,0.4632922642493147,0.4154841296192627,3,85823801.121,41.99059715,-91.65696644701376
Wilmington College,Wilmington,OH,Friends,586,0.3052028244799883,0.4909759566202712,0.4875708129942132,0.4153225425982237,3,28680526.591,39.441677,-83.81731600752089
King's College,Wilkes-Barre,PA,Roman Catholic,587,0.3233085467377378,0.4295837390210628,0.4997410141156137,0.4151612311198004,3,153490228.093,41.24954285,-75.87822679981367
Freed-Hardeman University,Henderson,TN,Churches of Christ,588,0.259207564663698,0.550718202596177,0.5031075873160936,0.4150893302518893,3,99443641.763,35.43981645,-88.63662784873422
Anna Maria College,Paxton,MA,Roman Catholic,589,0.3926879585264945,0.3915820383026651,0.4491970142849513,0.4150818091882854,3,-19888940.886,42.33036785,-71.91972779440366
North Carolina Wesleyan University,Rocky Mount,NC,Methodist,591,0.3462407500446542,0.3541322128253956,0.5135750977266833,0.4147854593968724,3,13596362.304,36.01543505,-77.77490978880125
Mount Carmel College of Nursing,Columbus,OH,Roman Catholic,592,0.2370333297818929,0.6184162896337799,0.4901243280340202,0.4145588009567864,3,0.0,39.9574536,-83.02096813501386
Concordia University-Chicago,River Forest,IL,Lutheran,593,0.3569701335581565,0.4774154140464601,0.4392211392186638,0.4139639975931035,3,33351280.489,41.8993058,-87.80945756076432
Trinity International University-Illinois,Deerfield,IL,Protestant,595,0.2105377400666021,0.7877290099105243,0.4299747500984788,0.4137369663231591,3,39751171.104,42.19529545,-87.87910360426022
La Salle University,Philadelphia,PA,Roman Catholic,596,0.3332475075387235,0.5226942642551957,0.4392401176093657,0.4135361567566173,3,84409019.91,40.03762975,-75.15400251695417
Geneva College,Beaver Falls,PA,Presbyterian,597,0.3140933948287025,0.5074277156147678,0.4659109790181481,0.413498322746453,3,68337055.35,40.77108845,-80.32171346880179
Tennessee Wesleyan University,Athens,TN,Methodist,598,0.3037351239228923,0.5503482460601884,0.4548156273368206,0.4134955045043919,3,16094035.773,35.44761055,-84.5944217053022
Loras College,Dubuque,IA,Roman Catholic,600,0.3097801434833084,0.5503634660318159,0.4474434699907425,0.4129656129290302,3,69353779.344,42.50504945,-90.67885577552974
Capital University,Columbus,OH,Lutheran,601,0.3306237373564321,0.4441921305640528,0.4787942549623619,0.4126239003045286,3,154685044.37,39.95543425,-82.9376326885703
Notre Dame of Maryland University,Baltimore,MD,Roman Catholic,602,0.2916133582612563,0.4733097094133654,0.5020320863764409,0.4121440338482598,3,52105536.423,39.3514279,-76.61940070192435
Millikin University,Decatur,IL,Presbyterian,603,0.3315647067497607,0.4198349989687161,0.4884882287497605,0.4120107316687299,3,95181826.586,39.842988,-88.974262809366
Manna University,Fayetteville,NC,Protestant,605,0.2358489333669967,0.8618419155956577,0.3617812313019861,0.4113830361480888,3,61377.151,35.084042,-78.906731
Missouri Valley College,Marshall,MO,Presbyterian,607,0.4088574024796564,0.3534416924141176,0.4425751016050145,0.4112736252275234,3,14836638.733,39.10644114999999,-93.19077080738803
Ohio Dominican University,Columbus,OH,Roman Catholic,608,0.3026962230230241,0.5789406761650016,0.4341756892530807,0.410535571591374,3,12773434.923,39.9945316,-82.94235868789129
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,Baptist,610,0.2991267815135465,0.5302040466326379,0.461011742941215,0.4101054883742058,3,9825859.626,41.72508,-93.600414
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,Roman Catholic,611,0.4057950539851788,0.3802019083152143,0.4292652552981246,0.4100717587311938,3,8259097.837,39.509411,-87.45979483919632
Manhattanville College,Purchase,NY,Interdenominational,612,0.3253234219074079,0.5340559237602415,0.4315311457714223,0.4095533801181679,3,27572311.394,41.0313935,-73.7155858
Kansas Wesleyan University,Salina,KS,Methodist,613,0.3660509742826161,0.36705227855384,0.474208430982726,0.4095357491778178,3,52395997.589,38.8135329,-97.61005437482667
Keuka College,Keuka Park,NY,Baptist,618,0.2901706621441001,0.5551931936107595,0.4536837155785147,0.4085865901687381,3,19625986.253,42.6147014,-77.08995736319191
Benedict College,Columbia,SC,Baptist,619,0.2911245539088854,0.4488979699039755,0.5058207091678584,0.4085848611009449,3,23997287.368,34.01396275,-81.02097288919151
College of Saint Mary,Omaha,NE,Roman Catholic,620,0.2644438100817217,0.4289222490377893,0.5423434748831302,0.4085384958825632,3,34644025.894,41.2409476,-96.02117078134732
Waynesburg University,Waynesburg,PA,Presbyterian,621,0.337580208423734,0.4602800449002033,0.4520616779299239,0.4079233898317574,3,29278160.544,39.8992531,-80.18633971576111
Kentucky Wesleyan College,Owensboro,KY,Methodist,622,0.3384096900266066,0.4565893254855021,0.4524720464145692,0.4076815541813025,3,41533486.438,37.7433245,-87.12062019141567
Beacon College,Leesburg,FL,Interdenominational,623,0.3175978849792389,0.5121208494483978,0.445529247556109,0.4076811568798872,3,149238.744,28.81243925,-81.87392600460183
Marian University,Fond Du Lac,WI,Roman Catholic,624,0.3034686279496739,0.501617719270053,0.4644734146865852,0.4075127469567296,3,11321983.748,43.7774111,-88.41412789035714
Millsaps College,Jackson,MS,Methodist,625,0.2980584683148166,0.342341157874431,0.5487141581933197,0.4072229850471605,3,106017093.802,32.32196355,-90.1798225329653
Madonna University,Livonia,MI,Roman Catholic,627,0.3752528987153321,0.3723922069514499,0.4557448169825805,0.4068939121222848,3,55890182.098,42.3911354,-83.41034131285153
Cairn University-Langhorne,Langhorne,PA,Interdenominational,628,0.3235762229617862,0.451660081492203,0.4677789635266976,0.4068901230560941,3,16081418.168,40.166879,-74.907382
Mount Marty University,Yankton,SD,Roman Catholic,631,0.3004646261212494,0.5175163879511382,0.4570723153091915,0.4065276705240586,3,40238850.429,42.871064,-97.390536
Regis College,Weston,MA,Roman Catholic,632,0.3086278445309942,0.5386542911431582,0.4370528143038754,0.4060058041118728,3,47895201.287,42.3506516,-71.30852442998884
Eastern Mennonite University,Harrisonburg,VA,Anabaptist,633,0.3146078193226686,0.4492818159678422,0.4752164514116039,0.4058047258140307,2,49620331.546,38.47216285,-78.87794515329837
Tabor College,Hillsboro,KS,Anabaptist,635,0.2846194940295703,0.4582250765440083,0.498553807617655,0.4049397622721579,2,29735159.452,38.34564655,-97.19974490220972
Neumann University,Aston,PA,Roman Catholic,636,0.3695658969045414,0.4364032615123337,0.4240886046555435,0.4047466737315901,2,34503820.365,39.87556305,-75.44047445081735
Knox College,Galesburg,IL,Presbyterian,637,0.3258276172200071,0.4309706550978681,0.4698768563727531,0.4044942160007204,2,162041855.844,40.9419283,-90.3722582708558
University of Saint Joseph,West Hartford,CT,Roman Catholic,638,0.3545384382867558,0.3979312016639077,0.4575284230728806,0.4044292435972556,2,56600453.651,41.7825213,-72.73120656750822
Alverno College,Milwaukee,WI,Roman Catholic,640,0.2931582400708118,0.5590812830959948,0.4376805417582946,0.4041540815068765,2,48602037.064,42.98375305,-87.96548223659715
Saint Joseph's College of Maine,Standish,ME,Roman Catholic,641,0.2952339465796779,0.5045554933992735,0.4612997863186811,0.4035368728524641,2,18024794.995,43.735578,-70.550979
Judson University,Elgin,IL,Baptist,642,0.3213489649514004,0.492667833374282,0.4408389791753513,0.4034155104415596,2,11348072.443,42.0609055,-88.29150749046332
Wesleyan College,Macon,GA,Methodist,643,0.3320017596816432,0.3208465734528517,0.5149065752648403,0.4029703451509032,2,56098069.925,32.87342845000001,-83.71773399748099
Mount Mercy University,Cedar Rapids,IA,Roman Catholic,644,0.3088431440223424,0.432657041211112,0.4800029711420313,0.4020917048836769,2,47705938.252,42.002593,-91.65196889140891
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,Methodist,645,0.2534864335149802,0.4736541701829713,0.5147991717195481,0.4020753219043798,2,68369726.009,39.147271,-92.684682
Midland University,Fremont,NE,Lutheran,647,0.384457159511866,0.3610089189062979,0.4389815546348188,0.4015905191430187,2,35966449.785,41.43827405,-96.48772006532069
Bethany College,Bethany,WV,Protestant,648,0.2976927147039748,0.5175956268529958,0.4470985401222222,0.4014435181749467,2,56798919.108,40.20580445,-80.56165856727861
Chestnut Hill College,Philadelphia,PA,Roman Catholic,653,0.2797468489200794,0.4962302333958055,0.4728864654198253,0.4003163519999753,2,44722082.271,40.0865064,-75.22687890420772
Tusculum University,Greeneville,TN,Presbyterian,654,0.2779699770516564,0.5004564742584179,0.4713169572846683,0.3998224893325394,2,15012156.478,36.1720416,-82.75920079647051
Spring Hill College,Mobile,AL,Roman Catholic,655,0.3289719058781753,0.5128327201622355,0.4137293226277848,0.3996456008367527,2,31286693.21,30.6920656,-88.13570396556952
Oak Hills Christian College,Bemidji,MN,Interdenominational,657,0.2432559807156036,0.5999260285231114,0.4550252790449615,0.3993043964637334,2,1040681.603,47.472649,-94.879662
Warren Wilson College,Swannanoa,NC,Presbyterian,658,0.369630086369392,0.325005975214794,0.465120523477727,0.3989249994803435,2,57134117.157,35.610945,-82.442949
Ottawa University-Ottawa,Ottawa,KS,Baptist,659,0.3457364079671535,0.4338357280821231,0.4345845948098505,0.3989045064325832,2,21732384.542,38.60293695,-95.2638028645363
University of the Ozarks,Clarksville,AR,Presbyterian,660,0.2995260508599522,0.3718286938136491,0.5112457039563707,0.3987095543555829,2,152133935.356,35.47863885,-93.46558900601369
Bennington College,Bennington,VT,Interdenominational,661,0.3001502149523851,0.500241137058963,0.4464554803230663,0.3986997574828366,2,59433818.69,42.92044325,-73.23852531543986
Lancaster Bible College,Lancaster,PA,Interdenominational,662,0.2910688531499087,0.4992261972590429,0.4558708924093598,0.398633282348957,2,20909046.413,40.0752884,-76.28808851521957
Belhaven University,Jackson,MS,Presbyterian,663,0.3892909017726797,0.2947503376009077,0.4585009961574826,0.3980901227675406,2,8432698.36,32.32013910000001,-90.1690571965284
Northwest Nazarene University,Nampa,ID,Protestant,664,0.3784915547164219,0.2583899581595204,0.4871215306906175,0.3979569619495704,2,44162315.279,43.5610104,-116.5658239708775
Bluefield University,Bluefield,VA,Baptist,665,0.2978968772587017,0.4185188451379424,0.4874724357110731,0.397877347130401,2,2495765.492,37.24510425,-81.24800239953215
Welch College,Gallatin,TN,Baptist,666,0.2619951678788486,0.5224437150543029,0.4710799764029489,0.3977345728305669,2,5741961.174,36.381611,-86.443832
La Roche University,Pittsburgh,PA,Roman Catholic,667,0.2698620245519966,0.5747261992016601,0.4365829100681968,0.3975260714480476,2,24657688.209,40.268817,-78.836652
Emmanuel University,Franklin Springs,GA,Pentecostal,668,0.3493521502071097,0.3761174522480509,0.4559249198156639,0.3973529564824372,2,0.0,34.284962,-83.144572
Grace Christian University,Wyoming,MI,Protestant,669,0.2607703337342079,0.5677443616002213,0.4469846624256342,0.3966574162469328,2,981788.283,42.9191842,-85.69025938006718
Bethel University,Mishawaka,IN,Protestant,671,0.3266758056777096,0.4330822909360914,0.4478949062824274,0.3964583461428682,2,11368919.048,41.6763764,-86.19332967026835
Columbia International University,Columbia,SC,Interdenominational,672,0.2069641588209203,0.6640215399727138,0.4521389777275767,0.3964488918396077,2,6571509.862,34.001446,-81.02266
Calumet College of Saint Joseph,Whiting,IN,Roman Catholic,673,0.3317981232474455,0.4179212792942311,0.4502178213612053,0.3964057053263246,2,5784850.202,41.6711327,-87.49426730404375
Spring Arbor University,Spring Arbor,MI,Methodist,674,0.3409091178935577,0.3663976408028859,0.4667431193168374,0.396363040992729,2,26642357.9,42.20800175,-84.55633879411187
Trinity Christian College,Palos Heights,IL,Interdenominational,675,0.2986068313106868,0.4572888104991889,0.4628966367147223,0.3960761390731633,2,18248078.865,41.6689319,-87.78340322217727
Criswell College,Dallas,TX,Baptist,678,0.2438501758540604,0.4761749605075412,0.5073659239171331,0.3957509026811329,2,10507851.206,32.79311725,-96.777051129858
Faulkner University,Montgomery,AL,Churches of Christ,679,0.3537238083119881,0.3722235089481884,0.4473842554227521,0.3949048094028923,2,22415312.902,32.3854781,-86.21710609904724
Malone University,Canton,OH,Friends,680,0.2895324783648388,0.4751186228929357,0.4600758095834609,0.3948825898096979,2,26621585.039,40.8265967,-81.37980061905188
Goshen College,Goshen,IN,Anabaptist,681,0.3276049920984274,0.3872784935155584,0.4647759661883693,0.3944295488625066,2,149820246.672,41.56248295,-85.82522495563299
Mary Baldwin University,Staunton,VA,Presbyterian,685,0.3080429027245939,0.4591503123085259,0.4435794430546494,0.3924909973405101,2,44029142.753,38.15402874999999,-79.06819740463007
Washington Adventist University,Takoma Park,MD,Seventh Day Adventist,686,0.4096257491170845,0.3398632356581903,0.4012941233073696,0.3923459060276037,2,4830765.137,38.98617775,-77.00002305629916
Georgian Court University,Lakewood,NJ,Roman Catholic,687,0.3342487274775913,0.4278351794314963,0.432545243378666,0.392294924886787,2,53350610.433,40.0981853,-74.22820003536859
Rochester University,Rochester Hills,MI,Churches of Christ,688,0.3318344015316225,0.4308546593185535,0.43280916203026,0.3920386502147847,2,1247972.92,42.66870805,-83.1435408514073
Manchester University,North Manchester,IN,Anabaptist,689,0.3589089719624425,0.2767712779595626,0.4819535548378032,0.3917320889979862,2,85720776.868,41.01177555,-85.76000953742776
Trocaire College,Buffalo,NY,Roman Catholic,690,0.2323938996294317,0.4397414217849919,0.5262480709134043,0.391443108656174,2,2555905.993,42.8467327,-78.8127639
University of Jamestown,Jamestown,ND,Presbyterian,691,0.3185591158557484,0.3984062164156426,0.4606598853219276,0.3913892791980362,2,47264091.841,46.9138872,-98.69703370758988
Graceland University-Lamoni,Lamoni,IA,Other,692,0.3186072878964377,0.3534954868816207,0.4809634089057038,0.3905563585014841,2,57187444.612,40.61690775,-93.9255655729911
Christian Brothers University,Memphis,TN,Roman Catholic,693,0.2303502644379478,0.5721166899072925,0.4599034709280244,0.3905365661265984,2,45668943.468,35.1289696,-89.98022497909133
Saint Michael's College,Colchester,VT,Roman Catholic,694,0.287161768792614,0.4739822195421903,0.4518012984991119,0.3903959166859948,2,103199288.562,44.4952594,-73.16559401843895
Clarke University,Dubuque,IA,Roman Catholic,695,0.3217100218595913,0.3994052105889291,0.4543793408730265,0.3903355515557627,2,34581809.03,42.50961785,-90.69069442289413
Thiel College,Greenville,PA,Lutheran,696,0.3021392820556502,0.4122818585560949,0.4669941669425288,0.3901317080298179,2,52054022.847,41.41321855,-80.3857097541329
Northwest University,Kirkland,WA,Pentecostal,697,0.2927486817141321,0.5024349180116134,0.4310662468304375,0.390019649909544,2,13822447.392,47.65775615,-122.1917099298653
Louisiana Christian University,Pineville,LA,Baptist,698,0.3015352873359085,0.3639961585823089,0.4911871852895596,0.3899199050591151,2,50376238.695,31.3235321,-92.4258488256772
Livingstone College,Salisbury,NC,Methodist,699,0.3872413540001396,0.2616720993910898,0.455544076673053,0.3894748096174905,2,2318188.436,35.67128695,-80.48567951259292
University of Mount Olive,Mount Olive,NC,Baptist,700,0.3958508983653854,0.6553018055095473,0.2502176490020769,0.3894327083083073,2,32190352.02,35.20585095,-78.06997857195825
Clarkson College,Omaha,NE,Episcopal,705,0.2433311086667323,0.4953368382695503,0.4748252375065833,0.386351004376044,2,6250224.204,41.25937365,-95.97542659744732
Appalachian Bible College,Mount Hope,WV,Baptist,707,0.2555871956627338,0.474112460976388,0.4720512476664032,0.3858993098108018,2,2041796.187,37.85492139999999,-81.20494954511202
Gods Bible School and College,Cincinnati,OH,Protestant,708,0.2547354897995393,0.3593275294110845,0.5284413427587937,0.3851805208721808,2,3903272.102,39.196175,-84.543441
Newman University,Wichita,KS,Roman Catholic,709,0.2850805897637035,0.4447861588053621,0.4553747319748089,0.3851574487280154,2,29801362.67,37.67176205,-97.3791849298535
Centenary University,Hackettstown,NJ,Methodist,710,0.3227286864454152,0.4490454774786923,0.4148275806329612,0.3848373904268232,2,19960438.503,40.8470669,-74.8351007155218
Maranatha Baptist University,Watertown,WI,Baptist,711,0.2872203562275037,0.4390949802431371,0.4550266771421425,0.3847361831982672,2,2122886.172,43.19591645,-88.74001639641634
William Jessup University,Rocklin,CA,Protestant,712,0.3148660234039732,0.3961331350488,0.4470925091238671,0.3840283586068756,2,7489589.15,38.8200917,-121.2924903547884
Wittenberg University,Springfield,OH,Lutheran,713,0.3521631219229654,0.3605461004370666,0.4257549207230009,0.3832903172077085,2,72000264.995,39.9351075,-83.81305544869264
Landmark College,Putney,VT,Other,714,0.2551895464312705,0.481357724804923,0.4617408140295569,0.3830623825809979,2,33449480.704,42.97580925,-72.51098429479487
Allegheny College,Meadville,PA,Methodist,715,0.2713582863729072,0.3721325203162563,0.4998264708080506,0.3829360231491271,2,324310270.263,41.6480894,-80.14529767068235
Mount Saint Mary College,Newburgh,NY,Roman Catholic,716,0.239229299590528,0.4797111899828388,0.4762273357496011,0.382148243550812,2,13134362.876,41.5118052,-74.01293211677414
Mount St. Joseph University,Cincinnati,OH,Roman Catholic,717,0.3553043762522374,0.3766677402019563,0.4116386888063552,0.3821199045899441,2,78613661.345,39.23261,-84.544492
Hiram College,Hiram,OH,Interdenominational,718,0.3081673710948922,0.4102543307547271,0.439638211882158,0.381189184813957,2,54055666.885,41.3136471,-81.14306812554344
University of Providence,Great Falls,MT,Roman Catholic,719,0.2656655074168138,0.4549363604950423,0.4594446857415523,0.3810511781127121,2,21268065.103,47.49109975,-111.2704632891088
Stillman College,Tuscaloosa,AL,Presbyterian,722,0.324990995648037,0.2403623560226349,0.503891229721967,0.379669604263306,2,15654139.087,33.19784735,-87.58572785618387
Lourdes University,Sylvania,OH,Roman Catholic,725,0.264480073054094,0.5136794581508581,0.4266802951413718,0.3792075590142657,2,10581753.81,41.71083765,-83.70816048949855
Talladega College,Talladega,AL,United Church of Christ,726,0.3301082160597928,0.2224915867327806,0.5065172379773228,0.3791945424287186,2,-10573463.136,33.4325135,-86.11488779398088
Fontbonne University,Saint Louis,MO,Roman Catholic,727,0.2933972465468938,0.4279481034232496,0.4385982897460073,0.3784034203247626,2,2456631.006,38.6416544,-90.31570077006862
Defiance College,Defiance,OH,United Church of Christ,728,0.2739709593861086,0.4334400797413166,0.4549729209132969,0.3782858215482954,2,21541524.969,41.29781850000001,-84.35295442000856
Union College,Barbourville,KY,Methodist,729,0.3082922546698333,0.3691314566016155,0.4521177217287323,0.3780129630529679,2,34318226.724,36.87209919999999,-83.88792369909103
Bluffton University,Bluffton,OH,Anabaptist,731,0.2978447661411042,0.3323998406069965,0.4794782145341542,0.3774420315737347,2,24960838.338,40.8965715,-83.89964803548409
Hope International University,Fullerton,CA,Protestant,733,0.2721813118623903,0.4650312280433586,0.4377270442206692,0.376983412196749,2,9939387.575,33.8763883,-117.8855690297249
Carlow University,Pittsburgh,PA,Roman Catholic,735,0.2958691607150928,0.3951285863940022,0.4480051763044071,0.3765959533471503,2,49161762.694,40.438763,-79.96366141482949
Limestone University,Gaffney,SC,Interdenominational,736,0.4084707428471603,0.2475926987040845,0.4080948869149906,0.3761608042789051,2,-36304529.043,35.05532985,-81.64839226367576
Albright College,Reading,PA,Methodist,737,0.3438740813016842,0.3182565387172184,0.436715764824559,0.375908376284904,2,68066715.658,40.3627666,-75.91176286761947
Baptist Health Sciences University,Memphis,TN,Baptist,738,0.2281093089458556,0.3290819132075226,0.5464785183399268,0.3757050901372702,1,135827700.113,35.13653725,-90.02616776188766
Pfeiffer University,Misenheimer,NC,Methodist,739,0.316189809691665,0.3502845731296936,0.4468499901095354,0.3752955571061586,1,22519393.398,35.48645430000001,-80.2821503180376
Jarvis Christian University,Hawkins,TX,Protestant,740,0.2934042213269108,0.2978642578637929,0.493969451026708,0.3745619875564924,1,143804.286,32.588298,-95.205319
University of Saint Mary,Leavenworth,KS,Roman Catholic,741,0.3306427955951922,0.2678155725632129,0.4707473445145041,0.3741534741886082,1,23056076.198,39.2778813,-94.90448801998753
Allen University,Columbia,SC,Methodist,742,0.3318850267725131,0.2449150016560966,0.4791408123761429,0.3734314841503141,1,1168290.958,34.01046295,-81.0199355569104
Saint Elizabeth University,Morristown,NJ,Roman Catholic,743,0.2960890995086286,0.3892231263869597,0.4426366972374443,0.3733549400926791,1,23769581.983,40.796638,-74.481598
Kentucky Mountain Bible College,Jackson,KY,Interdenominational,744,0.2374593580137085,0.4180960955271523,0.4867923696852777,0.3733517131136079,1,0.0,37.557603,-83.381557
Bloomfield College,Bloomfield,NJ,Presbyterian,746,0.2288656248226639,0.4843665561601364,0.4599060113096068,0.3724026236690992,1,16191419.637,40.79519845,-74.19382455603869
Morris College,Sumter,SC,Baptist,747,0.2634613184555092,0.2755368217912284,0.5295506884226697,0.3723641774331771,1,14455073.784,33.9383314,-80.34700051878013
Briar Cliff University,Sioux City,IA,Roman Catholic,748,0.2988398968537674,0.3630174556973249,0.4477795503397792,0.3712746401916965,1,26061900.431,42.52670705,-96.42835954012573
Andrew College,Cuthbert,GA,Methodist,750,0.3007334645147645,0.3061899151459458,0.470276169565418,0.3696751995572092,1,13466384.674,31.77219555,-84.79570870718634
Shaw University,Raleigh,NC,Baptist,751,0.2705937591423464,0.3869950237545273,0.4599536372240635,0.3696441951466245,1,17549822.356,35.77076885,-78.63697923267378
Methodist College,Peoria,IL,Methodist,752,0.2311639417422028,0.5217548840688309,0.4319303795603642,0.3695997995281239,1,39431046.163,40.78028965,-89.6829654980177
St. Andrews University,Laurinburg,NC,Presbyterian,753,0.3886134180946978,0.3020399664466779,0.383518478495634,0.3692683902827133,1,3296219.885,34.7407164,-79.4814373
Great Lakes Christian College,Lansing,MI,Protestant,754,0.2612607403961308,0.4561996168299426,0.4322768632901013,0.3686696741774168,1,545434.985,42.75431465,-84.63851156802842
William Woods University,Fulton,MO,Protestant,755,0.3115808457980327,0.318720100241337,0.4503623677645026,0.3685483478522305,1,23407866.159,38.8629209,-91.94880909677832
Spalding University,Louisville,KY,Roman Catholic,756,0.274638010635492,0.3603633639592208,0.4658222558239112,0.3682864436893107,1,32243100.741,38.24240815,-85.75856192110415
Chowan University,Murfreesboro,NC,Baptist,757,0.2736673238885322,0.2670464813434746,0.5125600736426061,0.3679486959153556,1,27518359.914,36.4340869,-77.09650067197137
Rust College,Holly Springs,MS,Methodist,759,0.264577060447288,0.2595441640297896,0.5243484175700661,0.3675314815739659,1,-12292775.62,34.77623250000001,-89.44731846573404
King University,Bristol,TN,Presbyterian,760,0.2888951228285097,0.3617432794914326,0.4479444397340277,0.3671090059710163,1,41346286.743,36.5877694,-82.15980141522917
Mid-Atlantic Christian University,Elizabeth City,NC,Protestant,763,0.2504832444325297,0.3872453927944745,0.4709583946596744,0.3660561530109858,1,4382862.376,36.3044141,-76.21636491459975
Trinity Baptist College,Jacksonville,FL,Baptist,764,0.2945265438375285,0.3429259438609981,0.4465165552640751,0.365027986475124,1,0.0,30.342791,-81.692947
Ferrum College,Ferrum,VA,Methodist,767,0.2786629434730029,0.2963942144914474,0.4829928205145433,0.3639802413416144,1,69567531.555,36.93142245,-80.02813058907365
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,Roman Catholic,768,0.2490587497826172,0.3918255244751786,0.4618099265691555,0.3627408489936329,1,8223752.157,30.40067515,-91.10924666026298
Bay Path University,Longmeadow,MA,Jewish,769,0.2831285907084067,0.2644994382469441,0.4913363360650399,0.3627293628230849,1,89141668.389,42.055796,-72.58419180850242
Talmudic College of Florida,Miami Beach,FL,Jewish,770,0.2352407418137602,0.2687651224161921,0.5361233275080555,0.3623554762910433,1,1352299.268,25.79224,-80.13485
Pacific Union College,Angwin,CA,Seventh Day Adventist,771,0.2577258130271879,0.444551752153372,0.4244248818671112,0.3617852856082494,1,36334097.79,38.5702492,-122.4404486
Boise Bible College,Boise,ID,Interdenominational,772,0.2457833807196638,0.3745602269110345,0.4698689911307944,0.3612049335598533,1,744058.766,43.615791,-116.201576
Baker University,Baldwin City,KS,Methodist,773,0.3108683464777637,0.250120957447708,0.4644397614239557,0.3601842236721216,1,58083413.484,38.77624315,-95.17939500727704
Blackburn College,Carlinville,IL,Presbyterian,774,0.2596342535588145,0.2359702209746411,0.5213805623912366,0.3596546862399736,1,36655744.222,39.28959765,-89.871577121424
Johnson University Florida,Kissimmee,FL,Protestant,775,0.2263483731824483,0.505879922058546,0.4190728874742928,0.3593550804223764,1,3171111.984,28.294701,-81.402527
